index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
251,9022900,0.20734,-78.69621,Rio Alambi,Pichincha,PICHINCHA,QUITO,R0
252,9022907,0.19852,-78.94238,Rio Mashpi,Pichincha,PICHINCHA,QUITO,R0
253,9022910,0.20165,-75.96534,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
254,9022926,0.25391,-79.24116,Rio Sabalo,Pichincha,PICHINCHA,PUERTO QUITO,R0
255,9022935,0.21594,-76.79348,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
256,9022936,0.2053,-76.62175,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
257,9022937,0.1868,-78.92153,Rio Mashpi,Pichincha,PICHINCHA,QUITO,R0
258,9022945,0.27725,-77.66207,Rio Cofane,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
259,9022946,0.2228,-77.59042,Rio Cofane,Sucumbios,SUCUMBIOS,GONZALO PI,R0
260,9022951,0.18613,-79.97541,,Manabi,MANABI,PEDERNALES,R0
261,9022965,0.22077,-77.04534,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
262,9022970,0.2034,-79.33022,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
263,9022977,0.23491,-79.73001,Rio Dogola,Manabi,MANABI,PEDERNALES,R0
264,9022981,0.1809,-78.70279,Rio Tulipe,Pichincha,PICHINCHA,QUITO,R0
265,9022986,0.18278,-76.30308,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
266,9022991,0.19674,-77.79419,Rio Agua C,Sucumbios,SUCUMBIOS,GONZALO PI,R0
267,9023002,0.19654,-76.18664,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
268,9023004,0.18446,-79.50959,Rio Mache,Esmeraldas,ESMERALDAS,QUININDE,R0
269,9023017,0.15856,-76.18609,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
270,9023025,0.157,-79.69493,Rio Chemer,Manabi,MANABI,PEDERNALES,R0
271,9023026,0.19269,-78.74316,Rio Chirap,Pichincha,PICHINCHA,QUITO,R0
272,9023037,0.15921,-79.29313,Rio Caoni,Pichincha,PICHINCHA,PUERTO QUITO,R0
273,9023038,0.15524,-79.2507,Rio Silanc,Pichincha,PICHINCHA,PUERTO QUITO,R0
274,9023065,0.15667,-79.94901,Rio Chebe,Manabi,MANABI,PEDERNALES,R0
275,9023068,0.18158,-76.5137,Rio Ucano,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
276,9023072,0.15852,-79.99099,Estero Arr,Manabi,MANABI,PEDERNALES,R0
277,9023082,0.16915,-77.70846,Rio El Dor,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
278,9023083,0.15648,-77.67819,Rio Cofane,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
279,9023089,0.17178,-76.97301,Rio Conejo,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
280,9023092,0.14851,-78.44414,Rio Perlav,Pichincha,PICHINCHA,QUITO,R0
281,9023095,0.17602,-79.54968,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
282,9023099,0.12987,-78.44896,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
283,9023105,0.13804,-78.40154,Rio Cubi,Pichincha,PICHINCHA,QUITO,R0
284,9023111,0.15749,-78.68134,Rio Alambi,Pichincha,PICHINCHA,QUITO,R0
285,9023119,0.15804,-75.90118,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
